股票代码,股票简称,公告ID,公告标题,公告时间,时间戳,PDF链接,PDF大小(KB),板块,公告类型代码,orgId
688981,中芯国际,1225084819,港股公告：2025年年报,2026-04-09,1775664000000,https://static.cninfo.com.cn/finalpage/2026-04-09/1225084819.PDF,41893,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1225037116,中芯国际2025年年度报告摘要,2026-03-27,1774540800000,https://static.cninfo.com.cn/finalpage/2026-03-27/1225037116.PDF,219,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1225037057,中芯国际2025年年度报告,2026-03-27,1774540800000,https://static.cninfo.com.cn/finalpage/2026-03-27/1225037057.PDF,1659,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1222924320,中芯国际2024年年度报告,2025-03-28,1743091200000,https://static.cninfo.com.cn/finalpage/2025-03-28/1222924320.PDF,3593,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1222924319,中芯国际2024年年度报告摘要,2025-03-28,1743091200000,https://static.cninfo.com.cn/finalpage/2025-03-28/1222924319.PDF,402,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1219551798,港股公告：2023年报,2024-04-10,1712678400000,https://static.cninfo.com.cn/finalpage/2024-04-10/1219551798.PDF,6039,SHKCB,01010501||010123||010301,gshk0000981
688981,中芯国际,1219447110,中芯国际2023年年度报告摘要,2024-03-29,1711641600000,https://static.cninfo.com.cn/finalpage/2024-03-29/1219447110.PDF,568,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1219447098,中芯国际2023年年度报告,2024-03-29,1711641600000,https://static.cninfo.com.cn/finalpage/2024-03-29/1219447098.PDF,3808,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1216493721,港股公告：2022年报,2023-04-21,1682006400000,https://static.cninfo.com.cn/finalpage/2023-04-21/1216493721.PDF,3854,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1216245939,中芯国际2022年年度报告摘要,2023-03-29,1680019200000,https://static.cninfo.com.cn/finalpage/2023-03-29/1216245939.PDF,439,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1216245933,中芯国际2022年年度报告,2023-03-29,1680019200000,https://static.cninfo.com.cn/finalpage/2023-03-29/1216245933.PDF,3943,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1212750692,中芯国际2021年年度报告,2022-03-31,1648656000000,https://static.cninfo.com.cn/finalpage/2022-03-31/1212750692.PDF,5440,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1212750691,中芯国际2021年年度报告摘要,2022-03-31,1648656000000,https://static.cninfo.com.cn/finalpage/2022-03-31/1212750691.PDF,502,SHKCB,01010503||010123||010301,gshk0000981
688981,中芯国际,1209567609,中芯国际2020年年度报告,2021-04-01,1617206400000,https://static.cninfo.com.cn/finalpage/2021-04-01/1209567609.PDF,4275,SHKCB,010123||01010503||01030101,gshk0000981
688981,中芯国际,1209567608,中芯国际2020年年度报告摘要,2021-04-01,1617206400000,https://static.cninfo.com.cn/finalpage/2021-04-01/1209567608.PDF,762,SHKCB,010123||01010503||01030110,gshk0000981
688111,金山办公,1225032227,金山办公2025年年度报告,2026-03-26,1774454400000,https://static.cninfo.com.cn/finalpage/2026-03-26/1225032227.PDF,1825,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1225032217,金山办公2025年年度报告摘要,2026-03-26,1774454400000,https://static.cninfo.com.cn/finalpage/2026-03-26/1225032217.PDF,508,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1222847501,金山办公2024年年度报告,2025-03-20,1742400000000,https://static.cninfo.com.cn/finalpage/2025-03-20/1222847501.PDF,4964,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1222847500,金山办公2024年年度报告摘要,2025-03-20,1742400000000,https://static.cninfo.com.cn/finalpage/2025-03-20/1222847500.PDF,788,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1219361803,金山办公2023年年度报告,2024-03-21,1710950400000,https://static.cninfo.com.cn/finalpage/2024-03-21/1219361803.PDF,5858,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1219361783,金山办公2023年年度报告摘要,2024-03-21,1710950400000,https://static.cninfo.com.cn/finalpage/2024-03-21/1219361783.PDF,1008,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1216181353,金山办公2022年年度报告,2023-03-22,1679414400000,https://static.cninfo.com.cn/finalpage/2023-03-22/1216181353.PDF,5171,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1216181349,金山办公2022年年度报告摘要,2023-03-22,1679414400000,https://static.cninfo.com.cn/finalpage/2023-03-22/1216181349.PDF,1839,SHKCB,01010503||010123||010301,9900035303
688111,金山办公,1212652869,金山办公2021年年度报告,2022-03-24,1648051200000,https://static.cninfo.com.cn/finalpage/2022-03-24/1212652869.PDF,5247,SHKCB,01010503||010123||010301,9900035303
